word,meaning
after class,课后
again,再一次，又一次
All right.,好的。
an,一（个）
animal,动物
apple,苹果
Art Club,美术社团
balloon,气球
banana,香蕉
bear,熊
beautiful,美丽的，美好的
behind,在……的后面
black,黑色的
blackboard,黑板
blue,蓝色的
break time,课间休息
brown,棕色的
butterfly,蝴蝶
buy,买
by,在……旁边
carrot,胡萝卜
chair,椅子
chameleon,变色龙
chicken,鸡
classroom,教室，课堂
clean,洁净的，干净的
close,关，关闭
colour (AmE color),颜色，色彩
cow,奶牛
cute,可爱的
desk,课桌，书桌
dirty,脏的
duck,鸭子
eat,吃
elephant,大象
far,远
farm,农场
feed,给食物，喂养
find,找到
fish,鱼；鱼肉
floor,地板，地面
flower,花，花朵
follow,遵循，听从
from,来自
fruit,水果
fun,有趣的
garden,花园，园圃
go,开始；移动；去，走
good,有用，有好处
Good idea!,好主意！
grape,葡萄
green,绿色的
guess,猜测，估计
have fun,玩得高兴
help,帮助，协助
high five,相互高举胳膊击掌
home,家，住所
How come?,怎么回事？
keep,（使）保持，处于
late,迟的，晚的
let,让
library,图书馆
like,喜欢，喜爱
lion,狮子
little,小的
long,长的
look at,看，瞧
look out of,朝……外看
lunchtime,午餐时间
make,做，制造
mango,芒果
Me too!,我也是！
monkey,猴子
move,移动
Mrs (AmE Mrs.),太太，夫人
nice,美好的
of,关于
on,在……上面
orange,橙子，柑橘；橙红色的，橘黄色的
our,我们的
outside,在外面
over,结束
panda,大熊猫
pen,笔，钢笔
pencil,铅笔
pencil case,铅笔盒，铅笔袋
pig,猪
pink,粉红色的
plane,飞机
play,玩耍
put,放，安置
put away,将……收起，把……放回原处
quiet,安静的
rabbit,兔子
ready,准备好
red,红色的
rule,规则，规章
run,跑，奔跑
school,学校
schoolbag,书包
see,看，见
share,分享，共享
sheep,羊，绵羊
shh,嘘
shout,大声说，叫，嚷
sit down,坐下
sure,（表示同意）当然
sweep,打扫，清扫
sweet,糖果；甜的
talk,说话，讲话
that,那，那个
That's all right.,不要紧。
these,这些
they,它们，他们，她们
thing,用品，用具
those,那些
tiger,老虎
together,在一起，共同
tree,树，树木
under,在……下面
very,很，非常
Welcome to...,欢迎来到……
What about you?,你呢？
What colour is ...?,……是什么颜色的？
where,在哪里，到哪里
white,白色的
window,窗，窗户
Would you like ...?,你想要……吗？
yellow,黄色的
zoo,动物园
 a,一（个）
 ah,啊
 am,是
 and,和，与
 are,是
 Are you OK?,你没事吧?
 aunt,舅母, 婶母, 伯母, 姑母, 姨母
 baby,婴儿
 ball,球
 big,大的
 Bobby,博比
 book,书
 boy,男孩
 brother,哥哥, 弟弟
 but,但是
 bye,再见，再会
 cake,蛋糕, 糕饼
 can,能, 会
 Can I help you?,要帮忙吗?
 car,小汽车, 轿车
 cat,猫
 child,儿童, 小孩
 class,同学们；班级
 clean,使……干净, 打扫
 come,来
 cool,妙极的, 酷的
 cousin,堂兄（弟）, 堂姐（妹）, 表兄（弟）, 表姐（妹）
 dad,爸爸
 dance,跳舞
 dizzy,头晕目眩的, 眩晕的
 do,做, 干, 办（某事）
 draw,画, 描画
 eight,八
 er,哦, 嗯
 excuse me,对不起
 family,家, 家庭
 father,父亲, 爸爸
 friend,朋友
 girl,女孩
 good,好的
 Good afternoon.,下午好。
 Good morning.,早上好。
 goodbye,再见，再会
 ha,（笑声）哈
 have,有，持有
 he,他
 hello,哈啰，你好
 Here I am!,我在这里！
 hi,喂，嗨
 I,我
 in,在……内，在……中
 is,是
 it,它
 Jake,杰克
 John,约翰
 many,许多
 Max,马克斯（小猴）
 Mike Brown,迈克·布朗
 Miss,小姐，女士
 mother,母亲，妈妈
 Mr,先生
 Mr Green,格林老师
 my,我的
 name,名字
 New Year's Day,元旦
 Nice to meet you!,很高兴认识你！
 no,不，不是
 not,不，没有
 oh,啊，哦
 right,正确的
 Sam,萨姆
 says,说
 she,她
 sing,唱（歌），演唱
 sister,姐姐，妹妹
 six,六
 some,一些
 sorry,对不起
 table,桌子
 Tad,塔德
 take pictures,拍照
 ten,十
 Thank you.,谢谢你。
 thanks,谢谢
 the,这个，这些，那个，那些
 thing,事情
 this,这，这个
 three,三
 Tina,蒂娜
 too,也
 toy,玩具
 twin,双胞胎之一
 uncle,舅父，叔父，伯父，姑父，姨父
 want,要，想要
 we,我们
 what,什么
 who,谁，什么人
 Willy,威利（小狗）
 with,和，同
 wow,哇，呀
 Yes, please.,好的，谢谢。
 yes,是，对
 you,你，你们
 You're welcome.,别客气。不用谢。
 your,你的，你们的
