—Please close the window . — ____ .,Thank you,"Yes , Mr Green",I’m sorry,N/A,,
—May I come in ? — ____ .,"Sit down , please","Come in , please",OK,N/A,,
"—Don’t listen ____ Sam , Bobby . —OK .",/,for,to,N/A,,
好朋友请我帮助他开门，他应该说:,"Open the door, please.","Close the door, please.",Thank you.,N/A,,
同学David帮助我关门后，我对他说：,Close the door.,Thank you.,"Yes, David",N/A,,
"你想知道同学多少岁了,你会说:",How old are you ?,How old are your?,I’m seven.,N/A,,
"同学生日聚会上,你会对他说什么祝福的话:",How old are you ?,Happy Birthday to you.,This is for you.,N/A,,
"同学问你多少岁了,你现在九岁,你会说:",How old are you?,I’m ten.,I’m nine.,N/A,,
"你告诉同学,现在是上课的时候了,你会说:",It’s time for class.,It’s time for the cake.,You’re late.,N/A,,
"你看到一个非常漂亮的铅笔袋时,你会说:",This is a nice pencil case.,What a nice pencil !,What a nice pencil case !,N/A,,
Look ____ my book.,a,and,at,N/A,,
— What are ____ ? — ____ are flowers.,these; It,those; They,this; It,N/A,,
— ____ these ants? — ____ . They're butterflies.,Are; Yes,Is; No,Are; No,N/A,,
— Is that your pen? — ____ .,"No, it isn't","No, they aren't","Yes, I am",N/A,,
— Where's the bird? —It's ____ the tree.,on,at,in 五、根据所给情境，选择合适的句子。,N/A,,
当你想知道近处的这些是什么，可以问：,What are these?,What are those?,What's this?,N/A,,
当你不确定这是不是一支铅笔时，可以问：,This is a pencil.,Is that a pencil?,Is this a pencil?,N/A,,
当你不确定远处的那些是什么时，可以问：,What is that?,What are those?,What is this?,N/A,,
当你欢迎朋友来你家时，可以说：,Welcome to my farm.,Welcome to my home.,Welcome to your home.,N/A,,
你想知道那些是不是也是梨，可以问：,"Are those pears, too?","Are these pears, too?","Are these apples, too?",N/A,,
--Who's that man? -- ____ is my uncle.,he,She,He,N/A,,
We're ____ .,twin,twins,teacher,N/A,,
--Who's the boy under the desk? --He's my ____ .,uncle,aunt,cousin,N/A,,
--Is that a pencil? -- ____ .,"Yes, it isn't.","No, it is.","Yes, it is.",N/A,,
____ time is it?,What,What's,How 五、情景交际。,N/A,,
当你想知道站在远处的男人是谁时，你会问： ____,What's your name?,Who's he?,Who's that girl?,N/A,,
你对Is this your father?的否定回答是： ____,"No, he isn't","Yes, he is.",He's my father.,N/A,,
当你想知道照片上的男人是不是对方的哥哥时，你会问： ____,This is your sister.,Is this your brother?,Is this your father?,N/A,,
你想知道那个女孩是谁，你会问： ____,Who is he?,Who is she?,Who is the boy?,N/A,,
I want ____ sleep.,to,too,two,N/A,,
Would you like ____ ice cream?,a,an,/,N/A,,
"— Don't sleep, Mike. — ____ .",I'm sorry.,"Come in, please.","No, thank you.",N/A,,
Don't ____ my cake!,drink,eat,shout,N/A,,
——Please close your book. —— ____ .,Thank you,"Yes, Mr Black",I’m sorry,N/A,,
"——The ruler is for you, Liu Tao. —— ____ .","Yes, please",Sorry,Thank you,N/A,,
"——Good afternoon, Mr Green. —— ____ , class.",Good afternoon,Goodbye,Good morning,N/A,,
"It’s too hot(热的). ____ the window, please.",Open,Don’t open,Close,N/A,,
"——Mike, please close the window. —— ____ .","No, thank you","Yes, Dad","Yes, please 根据所给情境，选择正确答案。",N/A,,
你很热，你可以对同学说：,"Open the door, please.","Open the book, please.","Close the window, please.",N/A,,
你上学迟到了，而李老师已经开始上课了，这时你应该说：,"Good morning, Miss Li.","I’m sorry, Miss Li.","Hello, Miss Li.",N/A,,
你在看黑板，前排的同学站起来挡住了你的视线，你可以说：,"Come in, please.","Stand up, please.",Please sit down.,N/A,,
格林老师叫刘涛打开窗户，刘涛回答说：,"Yes, Mr Green.","Sit down, please.",No.,N/A,,
"——Look ____ the blackboard, Sam. ——Yes, Mr Green.",at,in,for,N/A,,
——What’s this? ——It’s ____ .,rubber,a rubber,rubbers,N/A,,
"——Don’t listen ____ Sam, Bobby. ——OK.",at,in,to,N/A,,
"——Mike, please close the window. —— ____ .","No, thank you","Yes, Mum","Yes, please",N/A,,
Look at ____ robot.,my,me,I,N/A,,
—— ____ is this? ——It’s my new pencil.,What,How,Where,N/A,,
Don’t ____ !,running,run,door,N/A,,
—— ____ sleep here. ——I’m sorry.,Don’t,Not,No,N/A,,
